nome_completo,prim_habi,data_nasci,local_nasci,uf_3,data_emissao,validade,doc_identida,org_emissor,uf_4c,cpf,num_regis,categoria,pai,mae,assinatura
Luiz Fernando Cassiano,B,20/12/1996,Lima de Minas,SP,23/06/2016,21/06/2026,19.616.605-0,IIRGD,PI,270.854.193-50,31464474028,B,Calebe Correia,Mariane Machado,Luiz Fernando Cassiano
Davi Lucca Nunes,D,12/10/1961,Casa Grande de Aragao,AC,04/08/2022,01/08/2032,51.630.710-8,SSP,AC,509.168.473-57,37058277314,D,Dr. Luiz Henrique Nunes,Isadora Pires,Davi Lucca Nunes
Henry Gabriel Silveira,B,11/06/1991,Monteiro,PR,31/01/2016,28/01/2026,49.674.204-2,IIRGD,RS,157.803.942-88,19572715417,B,Gustavo Pastor,Ana Livia Cirino,Henry Gabriel Silveira
Marcela Sousa,E,25/12/1973,Montenegro,TO,20/07/2022,17/07/2032,44.295.963-7,SSP,DF,581.246.079-58,58345006357,E,Jose Pedro Fonseca,Ana Beatriz Vieira,Marcela Sousa
Leo Oliveira,C,08/07/2000,Aparecida,SC,14/10/2023,11/10/2033,90.387.888-4,IIRGD,AC,731.086.259-77,01622315119,C,Sr. Daniel Ribeiro,Evelyn Abreu,Leo Oliveira
Marcela Alves,A,10/10/1960,Lima,DF,13/05/2019,10/05/2029,66.712.671-3,PC,BA,673.948.250-00,22039780059,A,Juan Borges,Natalia Guerra,Marcela Alves
Lavinia Montenegro,B,06/10/1962,Casa Grande,MG,07/04/2018,04/04/2028,64.991.917-8,DETRAN,MS,764.051.328-62,96629142082,B,Francisco Ribeiro,Daniela Jesus,Lavinia Montenegro
Zoe Vasconcelos,C,29/04/1990,Cunha,RJ,23/10/2021,21/10/2031,46.186.270-9,IIRGD,PR,803.569.217-86,22554463715,C,Theo da Luz,Heloisa Duarte,Zoe Vasconcelos
Rael Pires,B,18/03/2000,Cardoso,PR,19/03/2022,16/03/2032,20.735.189-1,IFP,PR,617.904.238-13,97017207439,B,Carlos Eduardo Caldeira,Srta. Agatha Oliveira,Rael Pires
Thiago Costela,A,05/03/2007,Sa,RO,09/09/2023,06/09/2033,64.986.896-9,DETRAN,PA,264.857.013-62,92812686909,A,Sr. Caua Cavalcante,Heloisa Costa,Thiago Costela
Maya Costela,C,03/11/1960,da Conceicao do Amparo,PR,04/02/2017,02/02/2027,47.740.693-8,IPF,RN,567.312.409-07,80341657495,C,Heitor Gomes,Ana Vitoria Cavalcante,Maya Costela
Maite Moraes,A,08/07/1975,Moura,MG,24/04/2016,22/04/2026,54.382.515-6,IIRGD,GO,739.508.246-00,19953760328,A,Sr. Kaique Moura,Srta. Maria Fernanda Souza,Maite Moraes
Isabela Almeida,E,08/09/1954,Andrade de Minas,AL,16/11/2020,14/11/2030,29.682.702-1,DETRAN,AP,396.705.248-65,04008734551,E,Vinicius Rezende,Maria Isis Marques,Isabela Almeida
Erick Ribeiro,A,16/06/1978,Nunes,RN,26/11/2017,24/11/2027,94.865.161-4,SSP,PE,692.854.107-58,28803834286,A,Joao Felipe Sousa,Alicia Macedo,Erick Ribeiro
Otto Ribeiro,E,10/10/1956,Andrade do Amparo,PI,20/05/2018,17/05/2028,76.467.301-1,IFP,MS,849.361.270-78,55503840369,E,Yan da Rosa,Luisa Vargas,Otto Ribeiro
Manuela Cassiano,E,14/08/1996,Cassiano do Norte,MA,14/03/2024,12/03/2034,13.416.271-8,IFP,MS,672.514.983-91,48908642564,E,Benjamin da Conceicao,Manuella Vieira,Manuela Cassiano
Maysa Ferreira,A,27/10/1984,Fogaca,BA,12/03/2024,10/03/2034,96.505.866-8,IFP,SP,682.390.145-42,03062043163,A,Joao Felipe da Conceicao,Sara Leao,Maysa Ferreira
Caue Moreira,A,28/02/1963,Rezende,SE,10/08/2018,07/08/2028,55.266.996-9,DETRAN,DF,612.539.748-37,64887834769,A,Dante Pires,Clara Pires,Caue Moreira
Mateus Vasconcelos,E,07/09/1986,Rocha do Sul,AP,07/02/2017,05/02/2027,81.290.436-1,IFP,MT,987.453.621-73,23787360740,E,Miguel Mendonca,Julia Moreira,Mateus Vasconcelos
Nicolas Costela,C,20/01/1993,Porto da Prata,GO,17/03/2020,15/03/2030,23.635.695-3,IFP,MA,710.342.958-88,07946049637,C,Sr. Theo Aparecida,Brenda das Neves,Nicolas Costela
Kevin Nogueira,A,10/03/1990,Freitas da Mata,TO,07/11/2022,04/11/2032,16.745.576-2,IFP,MS,427.608.315-07,81647596700,A,Joao Miguel Vasconcelos,Dra. Sophie Santos,Kevin Nogueira
Raul Viana,C,18/07/1952,Costa,PB,08/04/2018,05/04/2028,78.611.493-8,IFP,PA,746.089.153-39,19728321502,C,Lorenzo Jesus,Maria Julia Pereira,Raul Viana
Oliver Castro,C,15/11/1961,Barbosa,AP,17/05/2019,14/05/2029,54.351.841-1,DETRAN,AP,745.832.019-23,52460562054,C,Davi Luiz Peixoto,Marcela Duarte,Oliver Castro
Agatha Nogueira,B,20/09/2004,da Paz das Flores,PA,15/03/2023,12/03/2033,37.473.350-1,IPF,MG,357.041.298-97,53189506449,B,Sr. Mathias Castro,Maria Luisa Campos,Agatha Nogueira
Dra. Hellena Sousa,A,28/09/1953,Rocha das Flores,PE,22/09/2024,20/09/2034,93.732.728-4,SSP,CE,283.170.549-50,44304438735,A,Bruno Andrade,Eduarda Novais,Dra. Hellena Sousa
Isaque Ribeiro,B,22/11/1975,Cardoso da Prata,SE,06/01/2017,04/01/2027,54.851.505-5,SSP,AM,915.826.304-70,20113786420,B,Dom Sales,Allana Fogaca,Isaque Ribeiro
Maria Sophia da Cruz,C,02/05/1965,Fogaca do Sul,SC,11/05/2017,09/05/2027,99.867.613-3,PC,SP,751.840.936-48,35315009826,C,Joao Guilherme Pinto,Gabriela Borges,Maria Sophia da Cruz
Davi Porto,E,01/04/2007,Lopes,ES,13/03/2024,11/03/2034,15.451.592-2,DETRAN,MA,731.092.645-52,84884171194,E,Juan Viana,Giovanna Cavalcante,Davi Porto
Matheus Leao,B,19/05/1968,Moreira do Galho,PE,18/09/2017,16/09/2027,71.899.583-6,PC,PA,128.605.374-90,21903625292,B,Enzo Gabriel Sa,Nicole Sa,Matheus Leao
Kaique das Neves,A,02/12/1983,Correia de Pastor,PB,10/02/2018,08/02/2028,14.929.920-6,SSP,CE,927.648.310-13,00415382105,A,Enzo Sa,Eloa da Conceicao,Kaique das Neves
Srta. Bianca da Rocha,D,03/09/1976,Marques Grande,SE,06/12/2022,03/12/2032,19.208.133-4,IFP,CE,972.540.681-85,84132381515,D,Caleb Oliveira,Maria Alice Moura,Srta. Bianca da Rocha
Luan Vasconcelos,A,08/07/1995,Sampaio do Amparo,RN,24/12/2020,22/12/2030,17.753.240-3,IFP,PA,597.631.284-55,56466298192,A,Gustavo Henrique Fogaca,Luana Cirino,Luan Vasconcelos
Srta. Sarah Pereira,C,04/03/1992,Moraes,CE,13/09/2017,11/09/2027,37.803.474-0,IPF,PR,283.614.709-13,72017481667,C,Dr. Luiz Fernando Lopes,Lorena Rocha,Srta. Sarah Pereira
Danilo Campos,D,07/08/1985,Jesus,RO,11/11/2021,09/11/2031,70.166.523-6,IIRGD,MA,837.619.425-91,99148788991,D,Dante Castro,Srta. Antonella Azevedo,Danilo Campos
Ana Cecilia Siqueira,B,11/09/1970,Novais,GO,19/07/2018,16/07/2028,53.101.370-9,PC,MS,742.901.386-40,68742810435,B,Andre Leao,Srta. Ana Cecilia Casa Grande,Ana Cecilia Siqueira
Heloisa Vasconcelos,E,12/03/2005,Campos do Sul,PR,09/11/2016,07/11/2026,90.734.769-2,IIRGD,MT,026.943.157-80,14918206526,E,Samuel Jesus,Dra. Sara Pinto,Heloisa Vasconcelos
Bianca Vasconcelos,B,11/04/1987,Siqueira,GO,26/10/2021,24/10/2031,47.634.152-4,IIRGD,BA,816.049.753-93,64699102770,B,Asafe da Costa,Luana Moura,Bianca Vasconcelos
Isabela Novaes,D,20/06/1977,Castro,AL,21/01/2016,18/01/2026,43.549.906-3,DETRAN,TO,586.012.793-68,38751913112,D,Sr. Arthur Miguel Costela,Lunna Brito,Isabela Novaes
Lavinia Pinto,C,08/10/1950,da Rocha Grande,CE,06/10/2019,03/10/2029,12.429.452-5,IPF,RJ,964.580.231-89,03248890318,C,Leandro Souza,Sofia Melo,Lavinia Pinto
Helena Costa,E,04/03/1990,Sales do Sul,ES,20/07/2019,17/07/2029,45.232.370-3,IPF,ES,874.539.160-20,06260612363,E,Vicente Castro,Bianca da Mata,Helena Costa
Srta. Maysa Barros,C,12/12/1945,Barbosa,TO,31/10/2019,28/10/2029,59.944.907-5,DETRAN,AC,076.593.182-68,64057406499,C,Dom Barbosa,Manuella Marques,Srta. Maysa Barros
Manuella Borges,C,19/05/1960,Moreira,SC,12/05/2017,10/05/2027,51.843.458-5,SSP,AL,257.301.846-62,76006813852,C,Enrico Sa,Maria Fernanda Fonseca,Manuella Borges
Dr. Caue Carvalho,C,28/04/1991,Abreu,GO,26/04/2023,23/04/2033,26.264.981-0,PC,AP,392.764.805-10,19198370748,C,Danilo Vieira,Sra. Camila Souza,Dr. Caue Carvalho
Emanuelly Correia,A,28/06/1962,Silva,RN,12/06/2017,10/06/2027,73.115.728-8,PC,DF,076.429.385-00,56088120707,A,Joao Vitor Moreira,Sra. Isis Cavalcanti,Emanuelly Correia
Gustavo Costela,E,03/02/1996,Aragao do Oeste,MG,29/06/2023,26/06/2033,36.387.194-3,PC,MS,849.031.275-32,23911213230,E,Oliver Cavalcante,Nicole Peixoto,Gustavo Costela
Oliver Mendonca,E,26/07/1949,Fernandes de Sa,RS,12/02/2021,10/02/2031,73.374.276-0,DETRAN,SE,903.847.651-57,84160923353,E,Rafael Dias,Sra. Vitoria Monteiro,Oliver Mendonca
Rodrigo Vasconcelos,E,13/04/1960,da Cunha de Azevedo,RS,05/02/2021,03/02/2031,80.394.166-1,DETRAN,AC,265.387.901-86,43524530397,E,Nicolas Cassiano,Srta. Isis Ribeiro,Rodrigo Vasconcelos
Luiza Araujo,B,03/05/1995,Cavalcante Alegre,SE,01/08/2021,30/07/2031,72.304.309-7,IIRGD,SP,570.683.492-00,58489935429,B,Dr. Caleb da Mata,Maria da Cruz,Luiza Araujo
Francisco das Neves,B,16/03/1950,Monteiro,PB,09/12/2022,06/12/2032,95.803.939-5,DETRAN,AM,059.812.374-14,67486294603,B,Theodoro Novaes,Sra. Gabriela Vieira,Francisco das Neves
Vinicius Camara,E,03/03/1974,Goncalves da Praia,TO,06/11/2016,04/11/2026,98.715.700-2,IPF,RJ,986.371.054-75,02283379890,E,Yago Silveira,Dra. Milena Fernandes,Vinicius Camara
Rafael Camara,D,22/08/1951,da Cunha,SE,06/09/2021,04/09/2031,65.939.871-9,SSP,AC,012.349.578-41,07278766190,D,Andre Sampaio,Ana Luiza Pires,Rafael Camara
Dra. Eloah Camargo,E,05/03/2007,Dias,CE,05/08/2024,03/08/2034,33.512.299-2,DETRAN,SP,543.709.628-38,23545559570,E,Pedro Miguel Novaes,Ana Sophia Freitas,Dra. Eloah Camargo
Luiz Miguel Goncalves,E,07/12/1998,Silva,PB,24/12/2021,22/12/2031,96.754.102-3,IPF,SP,038.469.251-60,94554885948,E,Juan Pimenta,Dra. Manuela Fonseca,Luiz Miguel Goncalves
Erick Machado,B,26/03/1991,Cassiano do Galho,RN,07/05/2018,04/05/2028,64.189.580-0,DETRAN,CE,531.867.490-93,41992981008,B,Ravi Lucca da Cunha,Aurora Jesus,Erick Machado
Francisco Moraes,D,07/08/1975,Martins,BA,27/09/2018,24/09/2028,92.394.703-5,IIRGD,SC,817.634.592-09,64350932827,D,Caio Azevedo,Marcela Andrade,Francisco Moraes
Ester Nascimento,E,29/01/1987,Barros de Minas,SE,15/03/2023,12/03/2033,53.820.658-1,IPF,PA,894.721.630-50,45111872580,E,Eduardo Pereira,Srta. Maria Liz Santos,Ester Nascimento
Sr. Arthur Pimenta,A,28/11/1974,Pinto de da Costa,GO,19/11/2018,16/11/2028,63.601.591-8,DETRAN,AM,639.517.280-86,73579160835,A,Rodrigo Barros,Srta. Maria Luiza Moura,Sr. Arthur Pimenta
Lavinia da Cunha,B,06/10/1987,da Luz de Peixoto,AP,24/05/2019,21/05/2029,40.564.683-6,IPF,RO,370.962.845-83,36771953660,B,Guilherme Macedo,Mariah Borges,Lavinia da Cunha
Ravi Lucca da Paz,B,04/09/1981,da Rosa do Sul,TO,30/08/2023,27/08/2033,79.938.263-1,PC,PI,309.658.147-93,31531309076,B,Gustavo Henrique Silveira,Stephany Marques,Ravi Lucca da Paz
Thomas Machado,C,21/01/1977,Jesus,AM,20/07/2022,17/07/2032,55.110.189-7,IIRGD,BA,903.217.586-68,17653747031,C,Vitor Hugo Viana,Luna Silva,Thomas Machado
Ana Liz Cassiano,C,08/12/1990,Pacheco Grande,PE,10/03/2024,08/03/2034,69.376.829-3,DETRAN,RJ,146.082.795-30,54131390566,C,Kevin Guerra,Ana Luiza Sa,Ana Liz Cassiano
Levi Moraes,A,25/01/1973,Sa da Mata,RR,04/04/2024,02/04/2034,86.968.267-0,IIRGD,AM,078.296.451-67,78635863126,A,Bryan Abreu,Ana Guerra,Levi Moraes
Marcela Rios,C,22/04/1977,Guerra das Flores,SC,10/03/2019,07/03/2029,58.639.717-1,IIRGD,PE,861.409.572-49,88286061462,C,Dr. Lucas Dias,Cecilia da Cunha,Marcela Rios
Marina Montenegro,B,08/02/2002,Freitas,RS,27/04/2024,25/04/2034,14.950.646-6,PC,RJ,672.841.093-78,08510102409,B,Gael Ribeiro,Valentina Montenegro,Marina Montenegro
Arthur Miguel Abreu,E,19/04/1995,Borges,PA,08/04/2019,05/04/2029,25.961.919-1,IIRGD,SP,184.702.369-03,84806478215,E,Rafael Abreu,Maria Alice Teixeira,Arthur Miguel Abreu
Heloisa Nascimento,E,25/11/1949,Porto,AC,12/09/2019,09/09/2029,87.605.427-9,SSP,PI,846.190.325-06,05856729472,E,Davi Luiz Sa,Leticia Caldeira,Heloisa Nascimento
Heloisa Alves,A,16/05/1977,Ribeiro,DF,25/02/2023,22/02/2033,51.485.234-5,IPF,MG,246.831.957-55,64546994000,A,Oliver Martins,Hadassa Oliveira,Heloisa Alves
Sra. Luana Castro,E,06/10/1977,Mendes,RN,14/03/2016,12/03/2026,67.231.691-9,IFP,ES,753.290.864-00,08806449936,E,Noah Pacheco,Maria Julia da Luz,Sra. Luana Castro
Melina Cavalcanti,B,28/05/1991,Fogaca do Campo,AP,19/10/2017,17/10/2027,51.814.952-7,IFP,RN,124.569.803-60,20441687128,B,Renan Nunes,Isis Machado,Melina Cavalcanti
Dra. Ester Leao,B,16/06/1992,Nogueira,SE,28/07/2023,25/07/2033,22.667.178-9,IIRGD,SP,732.564.980-00,36840277188,B,Nathan das Neves,Sara Rios,Dra. Ester Leao
Lais Cavalcanti,D,15/12/1961,Araujo,PE,25/09/2019,22/09/2029,35.771.290-7,IIRGD,MA,197.436.852-19,30231996742,D,Kaique Rodrigues,Sabrina Moraes,Lais Cavalcanti
Lais Cirino,C,01/12/1958,Camara Alegre,MS,11/08/2017,09/08/2027,48.503.699-1,SSP,AC,215.946.780-49,72836810032,C,Davi Lucas Silva,Dra. Ana Liz Nascimento,Lais Cirino
Renan Gomes,B,21/01/1990,Fonseca do Campo,BA,02/06/2017,31/05/2027,98.886.216-5,IIRGD,PE,890.526.147-76,06950419324,B,Asafe Novaes,Mariana Cassiano,Renan Gomes
Mathias Pimenta,C,07/07/1951,da Rocha,ES,31/03/2022,28/03/2032,14.565.961-8,IIRGD,MT,618.920.453-89,06363746668,C,Guilherme Rezende,Antonella da Conceicao,Mathias Pimenta
Vinicius Porto,C,16/05/1952,Pereira,PI,13/03/2019,10/03/2029,25.181.773-9,PC,PA,754.086.931-39,67723489806,C,Paulo Melo,Mirella Rezende,Vinicius Porto
Srta. Luana Mendes,D,26/01/1951,Rodrigues dos Dourados,GO,05/02/2018,03/02/2028,39.481.687-3,PC,MA,167.493.582-09,66575248421,D,Yago Lopes,Jade Lima,Srta. Luana Mendes
Oliver Campos,C,26/08/1947,Pacheco da Prata,RR,26/08/2021,24/08/2031,32.675.920-7,IFP,PA,730.956.824-92,39779990770,C,Marcelo Pires,Luara Montenegro,Oliver Campos
Ayla Rodrigues,C,29/04/1993,Costa de Siqueira,AC,18/04/2018,15/04/2028,35.206.359-1,DETRAN,ES,409.516.327-52,73827406769,C,Sr. Emanuel Aragao,Sra. Olivia Ferreira,Ayla Rodrigues
Gael Montenegro,E,22/12/1949,Siqueira,AC,27/05/2024,25/05/2034,81.562.826-3,PC,RS,709.216.345-52,12523041915,E,Dr. Oliver Aparecida,Ana Beatriz Porto,Gael Montenegro
Caue Montenegro,C,22/02/1987,Lopes do Sul,RO,19/03/2017,17/03/2027,74.889.193-1,DETRAN,AC,975.182.304-88,49840788501,C,Dante Brito,Srta. Zoe Moura,Caue Montenegro
Ryan Martins,E,30/04/1986,Dias do Oeste,PA,16/10/2016,14/10/2026,41.849.547-7,IIRGD,MA,510.934.627-52,23331785155,E,Apollo Rezende,Maria Laura Monteiro,Ryan Martins
Caue da Cruz,A,06/12/2001,Aragao,MG,24/09/2021,22/09/2031,17.976.339-6,SSP,MG,071.346.285-07,39109813101,A,Davi da Mota,Agatha Lopes,Caue da Cruz
Alicia Pereira,B,17/05/1995,Siqueira dos Dourados,PA,14/01/2017,12/01/2027,79.504.825-4,IIRGD,SC,097.512.834-50,14526445187,B,Dr. Murilo da Conceicao,Leticia Barbosa,Alicia Pereira
Marcelo da Cunha,C,26/06/1979,Silva de Brito,PR,25/08/2020,23/08/2030,34.591.720-5,IPF,DF,375.408.692-83,28056972848,C,Sr. Andre Vieira,Jade Aragao,Marcelo da Cunha
Dr. Miguel Cassiano,D,08/03/1953,Sousa,CE,12/06/2020,10/06/2030,52.448.492-3,IFP,PE,820.645.917-02,51980774351,D,Rhavi Aparecida,Juliana Montenegro,Dr. Miguel Cassiano
Dr. Heitor Freitas,E,30/07/1970,Montenegro,RO,15/01/2024,12/01/2034,64.525.486-3,IIRGD,RJ,167.594.208-02,42414938630,E,Luiz Gustavo Moreira,Rafaela da Cunha,Dr. Heitor Freitas
Sr. Lucca Mendes,C,08/10/1946,Freitas da Prata,GO,28/06/2023,25/06/2033,94.198.595-2,SSP,AC,476.910.532-07,16000187993,C,Benicio da Paz,Dra. Eduarda Aragao,Sr. Lucca Mendes
Bernardo Sa,E,23/04/1959,Silveira,AM,26/10/2018,23/10/2028,22.334.504-8,DETRAN,SC,067.481.593-93,71885477922,E,Sr. Murilo Montenegro,Maria Sophia da Mata,Bernardo Sa
Sra. Luiza Novais,A,10/02/2004,Correia,PE,02/11/2024,31/10/2034,29.705.475-9,PC,SC,095.476.132-43,21652306121,A,Otavio Peixoto,Heloisa Machado,Sra. Luiza Novais
Heloisa Pereira,E,03/05/1949,Barbosa do Amparo,RR,01/06/2021,30/05/2031,74.664.176-1,IFP,AP,375.286.140-17,93180198323,E,Joao Pedro Barros,Marcela Rodrigues,Heloisa Pereira
Maria Laura Campos,A,17/05/2007,Castro da Prata,PR,10/01/2018,08/01/2028,39.906.614-1,SSP,GO,704.253.961-34,41267843861,A,Valentim Jesus,Bruna Gomes,Maria Laura Campos
Rafael Carvalho,E,17/10/1981,Campos,AC,04/07/2017,02/07/2027,45.618.829-5,IPF,PI,104.765.892-58,65347967390,E,Davi Miguel Nascimento,Sarah Farias,Rafael Carvalho
Dr. Andre Nascimento,A,14/09/1947,Ramos de Camargo,GO,04/09/2017,02/09/2027,40.872.108-0,SSP,PE,629.135.408-05,75545009010,A,Theo Macedo,Srta. Agatha Freitas,Dr. Andre Nascimento
Sr. Alexandre Brito,E,30/11/1959,Casa Grande de Vasconcelos,AL,13/01/2018,11/01/2028,91.956.487-4,IPF,TO,379.128.650-12,83002313361,E,Enzo Gabriel da Rosa,Maria Laura Pastor,Sr. Alexandre Brito
Maria Fernanda Caldeira,C,20/08/1964,Pacheco,MG,05/04/2020,03/04/2030,13.779.820-2,DETRAN,GO,281.394.705-97,89324271268,C,Luiz Otavio Barbosa,Maria Luisa Goncalves,Maria Fernanda Caldeira
Manuella Albuquerque,B,02/02/2007,Jesus da Mata,PR,19/08/2022,16/08/2032,19.166.819-7,IFP,GO,538.291.076-68,28938460193,B,Benjamim Fonseca,Alicia Nascimento,Manuella Albuquerque
Pedro Henrique Pereira,C,03/10/1952,Vieira,PI,19/02/2019,16/02/2029,87.758.549-6,IPF,MT,281.654.709-49,43564709241,C,Dr. Andre Pastor,Maya Monteiro,Pedro Henrique Pereira
Bryan Souza,D,05/02/1953,Marques do Oeste,MS,29/11/2020,27/11/2030,33.750.971-2,IPF,MT,526.749.180-20,50842513140,D,Vinicius Mendonca,Maria Fernanda Siqueira,Bryan Souza
Ana Liz Montenegro,A,13/04/1948,Caldeira da Prata,ES,10/02/2020,07/02/2030,56.270.810-0,PC,PB,236.954.870-38,87224717099,A,Pietro Monteiro,Manuela Nascimento,Ana Liz Montenegro
Henry da Conceicao,A,30/06/1961,Carvalho de Rios,PA,31/12/2023,28/12/2033,54.957.575-9,SSP,RN,861.025.934-05,70811847735,A,Theo Fonseca,Srta. Cecilia da Conceicao,Henry da Conceicao
Sra. Manuela Novais,B,11/12/1944,Rocha de Albuquerque,TO,14/12/2017,12/12/2027,45.995.672-9,PC,RO,873.145.096-20,89813846605,B,Benjamin Vargas,Isabelly Sales,Sra. Manuela Novais
Ana Carolina Gomes,D,09/08/1946,Silveira,PR,02/06/2017,31/05/2027,39.659.193-3,SSP,RJ,901.254.836-51,64697857706,D,Raul Farias,Dra. Rebeca Macedo,Ana Carolina Gomes
Maria Julia Pires,A,18/04/1998,Garcia,PE,27/03/2024,25/03/2034,99.127.509-1,IIRGD,PI,793.052.146-06,26863577398,A,Dr. Heitor Machado,Stephany Fernandes,Maria Julia Pires
Allana Lopes,A,24/08/1946,Almeida de Pastor,PB,08/06/2024,06/06/2034,89.855.234-1,IIRGD,AC,158.426.073-44,71370591205,A,Davi Luiz Oliveira,Eloa Novaes,Allana Lopes
Dr. Danilo Sousa,D,06/06/1956,da Rosa,MG,14/09/2017,12/09/2027,43.533.221-7,IIRGD,RS,149.320.856-05,03282150943,D,Thales Nunes,Maria Vitoria Pimenta,Dr. Danilo Sousa
Enrico Nascimento,B,09/04/1968,Mendes do Galho,GO,28/02/2020,25/02/2030,21.582.705-5,IFP,RO,746.918.035-48,14525480464,B,Mateus da Paz,Srta. Evelyn Garcia,Enrico Nascimento
Vitoria Rodrigues,E,25/05/1995,Cunha de da Rosa,PE,11/08/2016,09/08/2026,29.797.268-8,DETRAN,RN,583.426.190-60,54375240179,E,Marcelo Pinto,Maria Cecilia Sales,Vitoria Rodrigues
Ravy Souza,D,04/11/1997,Pereira das Pedras,RJ,01/11/2021,30/10/2031,44.297.486-5,IFP,SC,138.579.602-21,58821439223,D,Dr. Joao Guilherme Aparecida,Maria Julia da Paz,Ravy Souza
Ana Liz Aparecida,B,22/11/1972,Carvalho,AM,17/11/2020,15/11/2030,52.328.894-6,IPF,BA,154.396.720-52,92263451259,B,Yago Pinto,Alana Rocha,Ana Liz Aparecida
Felipe Leao,D,05/10/1960,Pastor,BA,03/09/2022,31/08/2032,67.673.472-3,IPF,MA,124.907.835-05,41150023771,D,Theo Borges,Lara Fogaca,Felipe Leao
Srta. Maria Luiza Barbosa,A,27/09/1989,Silva Grande,RS,22/08/2016,20/08/2026,43.744.739-0,IPF,PA,916.530.782-86,26616539396,A,Dr. Andre Siqueira,Sophia Carvalho,Srta. Maria Luiza Barbosa
Sra. Clara da Costa,C,01/12/1946,Costela do Norte,PE,04/03/2017,02/03/2027,58.354.626-1,SSP,MG,164.237.095-99,87421744071,C,Raul Fogaca,Srta. Manuella Lima,Sra. Clara da Costa
Srta. Daniela Peixoto,C,03/09/1971,Barbosa,PA,24/02/2018,22/02/2028,27.699.419-8,DETRAN,PE,956.382.740-65,37702071376,C,Rael Montenegro,Ana Fernandes,Srta. Daniela Peixoto
Lara Lopes,A,20/02/1965,Mendonca,AC,15/04/2024,13/04/2034,75.797.545-4,DETRAN,PB,167.950.823-77,01712923923,A,Anthony Nascimento,Isabella Lopes,Lara Lopes
Melissa Cavalcanti,D,31/08/1997,Albuquerque do Oeste,MS,14/12/2023,11/12/2033,19.555.453-0,SSP,RJ,572.691.408-20,49239420245,D,Fernando Pinto,Beatriz Aparecida,Melissa Cavalcanti
Asafe Sa,C,27/09/1973,da Cunha,MA,03/06/2019,31/05/2029,74.823.366-1,DETRAN,PR,689.243.510-60,44028014343,C,Andre das Neves,Ana da Cruz,Asafe Sa
Mariana Rios,A,12/08/1988,Alves,PB,22/02/2020,19/02/2030,32.934.444-3,PC,SC,075.298.346-65,43609279045,A,Joao Guilherme Caldeira,Gabriela Cassiano,Mariana Rios
Josue das Neves,B,17/09/1986,Cunha,MA,24/12/2023,21/12/2033,19.328.529-3,IFP,SC,283.971.560-03,05343950259,B,Lucca Sales,Bianca Novais,Josue das Neves
Luisa Ribeiro,A,29/07/1963,Silva,PI,17/05/2017,15/05/2027,82.908.463-6,IIRGD,AM,683.910.725-68,86387066441,A,Thales Carvalho,Anna Liz Cardoso,Luisa Ribeiro
Maria Eduarda Sa,B,15/06/2000,Lima,TO,27/07/2020,25/07/2030,66.973.909-4,DETRAN,CE,753.201.684-62,90437310427,B,Liam Silva,Maria Clara Teixeira,Maria Eduarda Sa
Heloisa Sales,D,08/06/2005,da Costa,AC,29/05/2020,27/05/2030,45.673.595-3,PC,ES,483.705.129-41,02945518747,D,Joao Guilherme Gomes,Fernanda Jesus,Heloisa Sales
Ana Livia Gomes,E,29/05/1953,Andrade,PA,16/12/2023,13/12/2033,66.467.878-0,SSP,MT,483.170.529-23,42730792838,E,Guilherme Viana,Livia Costa,Ana Livia Gomes
Sr. Danilo Aparecida,E,28/03/2006,Castro,RO,08/10/2017,06/10/2027,74.810.595-8,IIRGD,AL,742.596.180-67,43305407769,E,Yago Castro,Maria Laura Cavalcante,Sr. Danilo Aparecida
Rael Nascimento,B,10/01/2006,Rios de Caldeira,RR,09/09/2016,07/09/2026,67.914.103-8,IPF,CE,806.914.257-01,80243991857,B,Luiz Henrique Leao,Maria Clara Abreu,Rael Nascimento
Nicole Mendonca,D,17/02/1958,da Luz do Oeste,RO,22/05/2020,20/05/2030,84.902.252-5,PC,CE,013.296.587-95,80327924849,D,Ravy Souza,Dra. Catarina Machado,Nicole Mendonca
Gustavo Henrique Cassiano,E,15/01/1976,Guerra da Prata,BA,29/09/2024,27/09/2034,34.533.691-3,IPF,SP,051.264.978-20,25949091639,E,Joao Miguel Fonseca,Sra. Nicole Cassiano,Gustavo Henrique Cassiano
Isaac Carvalho,D,05/12/2006,Guerra,GO,02/12/2022,29/11/2032,23.751.306-1,PC,PI,378.029.546-65,19287131309,D,Vitor Hugo Monteiro,Dra. Eloah Rezende,Isaac Carvalho
Ana Laura da Rosa,C,03/08/1956,Casa Grande,MA,09/02/2024,06/02/2034,12.548.799-3,DETRAN,PI,216.375.489-82,00422022696,C,Dr. Gabriel Ribeiro,Barbara Macedo,Ana Laura da Rosa
Lara Cirino,A,24/12/2003,Pinto dos Dourados,PR,12/07/2021,10/07/2031,75.837.670-6,IIRGD,AP,079.851.342-04,03125395733,A,Benjamin Abreu,Srta. Maria Vitoria Mendes,Lara Cirino
Francisco Dias,A,25/09/1975,Gomes do Norte,PI,15/03/2022,12/03/2032,63.980.131-2,IIRGD,RJ,162.453.897-55,02897943467,A,Jose Pedro Marques,Cecilia Aparecida,Francisco Dias
Vinicius Vargas,E,27/10/1956,Nunes,AP,02/05/2016,30/04/2026,77.112.492-8,SSP,AP,013.647.829-87,47464441372,E,Eduardo Alves,Nina Rocha,Vinicius Vargas
